name,rating,price
Wild joes,10.0,7.75
Treeline coffee roasters,10.0,8.25
Cafe M,9.0,5.25
Farmers Daughters,8.5,6.75
City Brew (iced matcha latte),8.5,7.40
Caliber coffee,8.0,6.00
Studio coffee roasters,8.0,5.20
La camionnete coffee,7.5,7.75
Cool beans,7.0,7.75
Roly Poly,6.5,7.00
Starbucks,6.5,5.65
City brew (strawberry matcha),5.5,7.10
Tea house,5.0,4.90
Rockford,4.5,6.25
Mavens,4.0,4.75
International coffee traders/Beacon,4.0,5.50
Tea house matcha lemonade,2.0,6.25
Zocalo,0.0,6.00
Treeline matcha with lavender,7.5,8.75
